date_found,last_seen,id,reg_id,published,name,org,price,deadline,status,cpvs,label,attachment_count,pdf_count,excel_count,image_count,link
"2026-05-14","2026-08-15 17:24","686855","NAT260010106","14.05.2026","45100000-Site preparation work","Tbilisi Didube District Gamgeoba","431`672.00 GEL","05.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=686855"
"2026-05-15","2026-08-15 17:24","686904","NAT260010112","15.05.2026","45100000-Site preparation work","Municipality Of Poty City","249`303.00 GEL","27.05.2026","Selection/Evaluation","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=686904"
"2026-05-15","2026-08-15 17:24","686831","NAT260010213","15.05.2026","45100000-Site preparation work","zugdidi municipality city hall","473`690.00 GEL","27.05.2026","No bids received","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=686831"
"2026-05-18","2026-08-15 17:24","685115","NAT260010264","18.05.2026","45100000-Site preparation work","Self-governing Entity Zestafoni Municipality","193`728.00 GEL","29.05.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=685115"
"2026-05-18","2026-08-15 17:24","684580","NAT260010275","18.05.2026","45100000-Site preparation work","Akhaltsikhe Municipality City Hall","421`140.00 GEL","08.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=684580"
"2026-05-19","2026-08-15 17:24","686339","NAT260010363","19.05.2026","45100000-Site preparation work","Tbilisi City Hall","962`067.00 GEL","24.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=686339"
"2026-05-19","2026-08-15 17:24","685688","NAT260010385","19.05.2026","45100000-Site preparation work","Self-governung Entity Tchiatura Municipality","280`475.00 GEL","06.07.2026","Cancelled","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=685688"
"2026-05-19","2026-08-15 17:24","687011","NAT260010399","19.05.2026","45100000-Site preparation work","Self-governing Entity Sachkhere Municipality","3`556.00 GEL","09.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=687011"
"2026-05-20","2026-08-15 17:24","687821","NAT260010545","20.05.2026","45100000-Site preparation work","Tbilisi Saburtalo District Gamgeoba","900`001.00 GEL","11.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=687821"
"2026-05-21","2026-08-15 17:24","687822","NAT260010616","21.05.2026","45100000-Site preparation work","Tbilisi Krtsanisi District Gamgeoba","409`464.00 GEL","11.06.2026","Contract awarded","45100000","45100000 - Site preparation work","0","0","0","0","https://tenders.procurement.gov.ge/public/?lang=ru&go=687822"
